,Job Title,Company,Location,Salary,Requirements,Years of Experience,Tags,Link
23,Senior Manager Data Science,Merck Sharp & Dohme (MSD),Pune,Not disclosed,Experience having deployed models to production is a mustExperience within any of the t...,5-9 Yrs,"CVS, Claims, Machine learning, Javascript, Agile, Oncology, Scrum, Analytics",https://www.naukri.com/job-listings-senior-manager-data-science-msd-pharmaceuticals-private-limited-pune-5-to-9-years-071122502851
24,Consultant / Senior Manager - Analytics / Data Science - IT,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,Responsibilities:- Collaborate with client stakeholders to understand and frame busines...,2-7 Yrs,"Analytics, IT Skills, Python, Data Science, Machine Learning, Pytorch, R, NLP",https://www.naukri.com/job-listings-consultant-senior-manager-analytics-data-science-it-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-2-to-7-years-071122908420
25,Senior Quant Researcher - Data Science,Squarepoint Technologies India,remote,Not disclosed,Research statistical techniques such as Machine Learning and NLP to extract value from ...,1-4 Yrs,"Data analysis, Financial markets, data science, Machine learning, Programming, Mathematics, Investment management, Python",https://www.naukri.com/job-listings-senior-quant-researcher-data-science-squarepoint-technologies-india-private-limited-remote-1-to-4-years-071122503093
26,Hiring For Data Science,Absolutdata,"Hybrid - Noida, New Delhi, Faridabad, Gurgaon/Gurugram","15,00,000 - 30,00,000 PA.",Immediate Joiner will be preferred who can join us in the month of November. Role- Data...,6-11 Yrs,"Data Science, Data Scientist, Machine Learning, Deep Learning",https://www.naukri.com/job-listings-hiring-for-data-science-absolutdata-research-analytics-solutions-pvt-lt-noida-new-delhi-faridabad-gurgaon-gurugram-6-to-11-years-141122009337
27,Data Science Lead - Forecasting,Cargill,Bangalore/Bengaluru,Not disclosed,"Own and design statistical model, evaluate differentiating features and deploy forecast...",6-11 Yrs,"Data analysis, data science, Machine learning, Javascript, Supply chain solutions, Workflow, Forecasting, Monitoring",https://www.naukri.com/job-listings-data-science-lead-forecasting-cargill-india-pvt-ltd-bangalore-bengaluru-6-to-11-years-240922500096
28,Data Analyst - Data Science,Altigreen,Bangalore/Bengaluru,Not disclosed,Bachelors in STEM Must have 5+ years experience as Data / Business Analyst Must have 5+...,5-10 Yrs,"Data analysis, Business Analyst, data science, Coding, Data Analyst, AWS, Statistics, SQL",https://www.naukri.com/job-listings-data-analyst-data-science-altigreen-bangalore-bengaluru-5-to-10-years-041022500035
29,Associate Manager Data Science,Merck Sharp & Dohme (MSD),Pune,Not disclosed,This role involves working with our partners in different Therapeutic areas (eg Oncolog...,2-4 Yrs,"CVS, Claims, Machine learning, Javascript, Agile, Oncology, Scrum, Epidemiology",https://www.naukri.com/job-listings-associate-manager-data-science-msd-pharmaceuticals-private-limited-pune-2-to-4-years-031122501291
30,Data Science Engineer,EOK Technologies Info Systems Pvt. Ltd.    ,"Temp. WFH - Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed,Should have a Bachelor / Masters degree in Computer Science or Engineering or Statistic...,3-8 Yrs,"R, Machine Learning, Python, IT Skills, Java, Testing, Data Science, Cloud",https://www.naukri.com/job-listings-data-science-engineer-eok-technologies-info-systems-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-3-to-8-years-091122909198
31,Principal Engineer Data Science II AI models II Machine Learning,People Resources    ,Bangalore/Bengaluru,"30,00,000 - 45,00,000 PA.",8+ Years experience in developing AI models,8-13 Yrs,"Data Processing, Machine Learning, database programming, Tableau, Java, processing, Hadoop, ETL",https://www.naukri.com/job-listings-principal-engineer-data-science-ii-ai-models-ii-machine-learning-people-resources-bangalore-bengaluru-8-to-13-years-161122009667
32,Data Science Machine Learning,LIVE CONNECTIONS ,Bangalore/Bengaluru,"11,00,000 - 17,00,000 PA.",Data Science Machine Learning:Bangalore Must be expertise in the areas of Data Analysis...,4-6 Yrs,"Data Science, Data Analysis, Python, Machine Learning, SQL, IT Skills",https://www.naukri.com/job-listings-data-science-machine-learning-live-connections-bangalore-bengaluru-4-to-6-years-141122002440
